date,quotation,speaker,qids,probas
2016-11-14,It is widely accepted that farming and food in Ireland are the industries that have most to lose from Brexit.,None,[],"[['None', '0.7449'], ['Matt Carthy', '0.2551']]"
2016-07-25,the evidence is mounting that the economy has taken a hit from Brexit.,Paul Hollingsworth,['Q7151345'],"[['Paul Hollingsworth', '0.9088'], ['None', '0.0912']]"
2016-07-27,The new Brexit Britain: Mr Fox trotting the globe in search of a knuckle dragger he can cut a deal with. No thanks.,Stewart McDonald,"['Q20011564', 'Q7615877']","[['Stewart McDonald', '0.9036'], ['None', '0.0964']]"
2016-09-19,"The `Three Brexiteers' want a much bolder strategy, but Philip Hammond is warning of the dangers of going too far,",Philip Hammond,"['Q18388174', 'Q332987']","[['Philip Hammond', '0.8725'], ['None', '0.1133'], ['LITTLE MO', '0.0142']]"
2016-08-26,The worst part about Brexit is that I've had the theme tune to Byker Grove in my head but singing the words Michael Gove.,None,[],"[['None', '0.9177'], ['Loyiso Gola', '0.0823']]"
2016-05-11,"There is little doubt that a potential Brexit poses huge risks to the outlook for the UK,",Peter Dixon,"['Q15433478', 'Q17167659', 'Q3376542']","[['Peter Dixon', '0.73'], ['None', '0.27']]"
2016-08-10,"This is just one example. It's early days, so we can't discuss a lot of details at this stage, but Brexit also poses opportunities which we need to grab with both hands.",Rajesh Agrawal,['Q7286048'],"[['Rajesh Agrawal', '0.8182'], ['None', '0.1556'], ['Sadiq Khan', '0.0262']]"
2016-09-20,"And other critical factors such as capital and liquidity, which are largely determined by global standards, are unlikely to face material changes due to Brexit per se.",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.6298'], ['None', '0.3702']]"
2016-08-29,"As Brexit threatens to cut off vital public funds for this scientific field, our universities need a cast-iron guarantee from our Government that EU money will not be replaced by corporate cash,",Ben Stewart,['Q4886520'],"[['Ben Stewart', '0.8932'], ['None', '0.1068']]"
2016-09-07,"If Brexit has effects on London, they will play out in a process over time in areas like talent mobility, trade and regulation. But it is worth remembering that London is resilient, agile and great at adapting. London is open for business and we must seize the opportunities that lie ahead.",David Snell,['Q25190071'],"[['David Snell', '0.9092'], ['None', '0.0898'], ['Sadiq Khan', '0.001']]"
2016-09-04,"This is an historic and positive moment for our nation. Brexit isn't about making the best of a bad job. It is about seizing the huge and exciting opportunities that will flow from a new place for Britain in the world,",David Davis,"['Q1174175', 'Q1174177', 'Q13471238', 'Q16206936', 'Q28037658', 'Q300023', 'Q41256031', 'Q4710588', 'Q56596944', 'Q843907']","[['David Davis', '0.7615'], ['None', '0.1236'], ['Prime Minister Theresa May', '0.0787'], ['Theresa May', '0.0359'], ['President Obama', '3.0E-4']]"
2016-08-11,"At a time of economic uncertainty -- particularly following the Brexit vote -- this is a welcome boost to London's economy,",Sadiq Khan,['Q334155'],"[['Sadiq Khan', '0.5905'], ['None', '0.4095']]"
2016-07-05,"BOE governor Mark Carney, almost the only British leader who seems to not be resigning at the moment, emphasized the challenges the U.K. economy will suffer in the post-Brexit world,",None,[],"[['None', '0.7421'], ['Mark Carney', '0.2579']]"
2016-09-07,"I know many people are keen to see rapid progress and to understand what post-Brexit Britain will look like. We are getting on with that vital work,",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.6344'], ['None', '0.1925'], ['Theresa May', '0.1494'], ['Jeremy Corbyn', '0.0237']]"
2016-09-14,only silver lining of the Brexit vote is that it will reduce medium-term attention on Chilcot -- though it will not stop the day of publication being uncomfortable.,Colin Powell,"['Q150851', 'Q5145485']","[['Colin Powell', '0.455'], ['None', '0.4311'], ['Jack Straw', '0.1139']]"
2016-12-19,"Six months ago if were to meet, there would have been no Brexit, no demonetisation and no Trump,",Uday Kotak,['Q7876966'],"[['Uday Kotak', '0.942'], ['None', '0.0423'], ['Piyush Goyal', '0.0113'], ['Arundhati Bhattacharya', '0.0044']]"
2016-07-13,That tool box looks set to be re-opened tomorrow; we think the BoE will react to downside economic risks generated by Brexit uncertainty.,None,[],"[['None', '0.5566'], ['Mark Carney', '0.4434']]"
2016-07-02,"the aftermath of Brexit will leave central and east Europeans less trustful in the general idea of the European integration project, and will boost nationalist sentiments.",Witold Waszczykowski,['Q9375875'],"[['Witold Waszczykowski', '0.9645'], ['None', '0.0355']]"
2016-09-27,The one thing that Brexit showed more than anything else was the huge gulf between those who have benefited from globalisation and those who haven't,John Mills,"['Q16201718', 'Q17402961', 'Q19520598', 'Q24257027', 'Q27915240', 'Q48810303', 'Q54901208', 'Q58209206', 'Q6248833']","[['John Mills', '0.785'], ['None', '0.215']]"
2016-12-07,I don't think Britain's stupidity on Brexit should affect the principle of what we are doing.,None,[],"[['None', '0.9189'], ['Nicholas Winton', '0.0811']]"
2016-12-01,"Our message is clear. We do not want a `hard Brexit' ; we do not want to be pulled out of the single market; and we will not let intolerance, division and fear win,",Sarah Olney,['Q27942399'],"[['Sarah Olney', '0.8383'], ['None', '0.1387'], ['Tim Farron', '0.0106'], ['Zac Goldsmith', '0.0064'], ['Prime Minister Theresa May', '0.0031'], ['Nick Clegg', '0.0014'], ['Michael Gove', '5.0E-4'], ['Theresa Villiers', '5.0E-4'], ['Jacob Rees-Mogg', '5.0E-4']]"
2016-12-09,"Add to this the loss of EU funding for our universities and most deprived places, add to this the impact of fewer migrants in an ageing population, add to this the impact on our rural economy and whatever kind of Brexit we end up with, it looks a pretty challenging place from here,",Ed Cox,['Q5334702'],"[['Ed Cox', '0.5909'], ['None', '0.2982'], ['George Osborne', '0.1108']]"
2016-06-30,"Brexit will give a perfect excuse to the Federal Reserve not to increase interest rates and be most likely to launch QE4,",Marc Faber,"['Q117011', 'Q16439149']","[['Marc Faber', '0.9568'], ['None', '0.0432']]"
2016-07-01,"The level of disruption following a Brexit would depend on whether the UK remained part of the European regulatory framework. If not, the UK will have to resume separate authorizations and inspections, leading to duplication and delay.",None,[],"[['None', '0.539'], ['Karen Taylor', '0.461']]"
2016-12-24,"The threat of a right-wing hard Brexit is already hitting the economy, businesses, families and communities across the country -- and all before the UK has even left the EU.",None,[],"[['None', '0.8672'], ['Carrie Fisher', '0.0673'], ['Judy Murray', '0.0655']]"
2016-09-08,This huge taxpayer-funded Brexit bill for legal advice shows how ill-prepared Whitehall is for what will be the biggest and most complex set of negotiations it has ever attempted.,None,[],"[['None', '0.5388'], ['David Davis', '0.3905'], ['Theresa May', '0.0707']]"
2016-04-25,"By the people's choice, not its elite, Denmark is not part of some EU treaty language on defence. A core priority after Brexit must be for the UK to strengthen NATO and help improve the Alliance's capability to act cooperatively to preserve peace and security including dealing with ISIL.",President Barack Obama,['Q76'],"[['President Barack Obama', '0.5427'], ['None', '0.3895'], ['David Owen', '0.0678']]"
2016-07-16,"It's a game of poker already. Presumably what Theresa May is trying to say is `Actually, you may discover the Brexit deal that we've got is not one that is so inimical to Scotland's interests. '",John Curtice,['Q6227958'],"[['John Curtice', '0.9143'], ['None', '0.0857']]"
2016-08-12,"The reason why we flicked the switch and turned sentiment around for the first time since the Brexit vote is that we're now more optimistic we're going to see demand continue to be strong and supplies average out,",Paul Flynn,"['Q14944672', 'Q15505427', 'Q29035334', 'Q390611']","[['Paul Flynn', '0.5757'], ['None', '0.4243']]"
2016-09-16,BoE is supporting jobs & wages as UK economy adjusts to Brexit,Mark Carney,['Q192533'],"[['Mark Carney', '0.6807'], ['None', '0.3193']]"
2016-07-03,"Global Economics View: Who's Next? EU Political Risks After The Brexit Vote,",None,[],"[['None', '0.905'], ['Angela Merkel', '0.0531'], ['John Martin', '0.0258'], ['Jean-Claude Juncker', '0.0161']]"
2016-12-23,"It will get stronger. The free-trade agenda is designed to strengthen the British economy, contrary to all the propaganda about soft Brexit, staying in the single market.",Patrick Minford,['Q7147227'],"[['Patrick Minford', '0.9009'], ['None', '0.0924'], ['Prime Minister Theresa May', '0.0067']]"
2016-09-05,"Naturally, people want to know what Brexit will mean. Simply, it means the UK leaving the European Union. We will decide on our borders, our laws, and taxpayers' money. It means getting the best deal for Britain -- one that is unique to Britain and not an `off the shelf' solution. This must mean controls on the numbers of people who come to Britain from Europe -- but also a positive outcome for those who wish to trade in goods and services.",David Davis,"['Q1174175', 'Q1174177', 'Q13471238', 'Q16206936', 'Q28037658', 'Q300023', 'Q41256031', 'Q4710588', 'Q56596944', 'Q843907']","[['David Davis', '0.7438'], ['None', '0.2562']]"
2016-07-12,"Overall, the FTSE has proved resilient in the face of all the uncertainty created by the Brexit vote, though that really is testament to the international makeup of the index, and the long-standing faith in central bankers to come to the rescue by turning on the printing presses. If Mark Carney fails to act on Thursday, the market will be disappointed.",None,[],"[['None', '0.9432'], ['Theresa May', '0.0568']]"
2016-06-25,"Remittances and other business transactions from the UK and generally from Europe have changed the lives of many in Africa. Brexit is likely to increase uncertainty and market volatility, which might translate to slower economic activity and affect trade relations. We hope things will be stable especially for the good of global businesses,",Abdirashid Duale,['Q4664999'],"[['Abdirashid Duale', '0.9468'], ['None', '0.0532']]"
2016-09-06,"Revealing how low the bar had been set for good news from the company Sports Direct jumped more than 5.5%, hitting its highest level since the Brexit referendum in the process, just by pledging to address the `serious shortcomings' revealed by the recent investigation.",None,[],"[['None', '0.7848'], ['Mike Ashley', '0.2152']]"
2016-09-06,They were mainly asking for more details. They were saying that the government is badly prepared for Brexit and it still does not have a clear plan for the way forward.,Barnaby Phillips,['Q4861368'],"[['Barnaby Phillips', '0.7797'], ['None', '0.2203']]"
2016-05-21,agreed that [ a Brexit ] would be the wrong decision.,Wolfgang Schaeuble,['Q16019'],"[['Wolfgang Schaeuble', '0.8225'], ['Bill Morneau', '0.1513'], ['None', '0.0243'], ['David Cameron', '0.0019']]"
2016-07-12,Brexit Means Getting a Deal that is a Lot like EU membership But Not Quite as Good Because We Haven't Got a Vote,None,[],"[['None', '0.5072'], ['Theresa May', '0.4928']]"
2016-09-16,We have in London a mayor of Islamic faith. I think that message -- our friendship -- is a message that is bigger than the Brexit vote.,Sadiq Khan,['Q334155'],"[['Sadiq Khan', '0.3981'], ['None', '0.3325'], ['Rahm Emanuel', '0.2603'], ['Donald Trump', '0.0091']]"
2016-09-07,"What Japanese businesses in Europe most wish to avoid is the situation in which they are unable to discern clearly the way the Brexit negotiations are going, only grasping the whole picture at the last minute. It is imperative for the UK and the EU to regain the confidence of the world... by increasing the predictability of the Brexit process, ensuring the outcome is free of unpleasant surprises",None,[],"[['None', '0.9198'], ['Prime Minister Theresa May', '0.0802']]"
2016-07-26,"Brexit might be an excuse for some EU countries to withhold their signature,",Oliver Geden,['Q23661849'],"[['Oliver Geden', '0.8989'], ['None', '0.1011']]"
2016-06-30,Brexit was a wake-up call.,Paul Ziemiak,['Q18169686'],"[['Paul Ziemiak', '0.677'], ['None', '0.2481'], ['Johanna Uekermann', '0.0749']]"
2016-07-15,"Donors faced many competing funding demands, including humanitarian emergencies and the refugee crisis, all against a backdrop of fiscal austerity in a number of countries. Looking ahead, donor funding for HIV remains uncertain, as leading donors face changes in political leadership and the world is still digesting the effects of Brexit.",None,[],"[['None', '0.8519'], ['Luiz Loures', '0.1481']]"
2016-07-13,We don't see the slowdown. Probably because we are a bit more eurocentric right now with the Brexit we believe everything falls apart. This is not true. The market is very active and positive.,FABRICE BREGIER,['Q3063832'],"[['FABRICE BREGIER', '0.883'], ['None', '0.117']]"
2016-04-25,"We view the binary outcome as neutral in the event of `Bremain' , but a net positive in the event of `Brexit' ,",Andy Murphy,['Q16196614'],"[['Andy Murphy', '0.8562'], ['None', '0.1438']]"
2016-07-06,"While we've held off action for as long as we can, the sharp drop witnessed in the currency markets following the Brexit decision has forced us to reevaluate the OnePlus 3's pricing in the U.K.,",None,[],"[['None', '0.7234'], ['Andrew Hall', '0.2766']]"
2016-02-22,"Boris is one of the few British politicians liked by the British public and is a significant coup for the `Out' campaign. The odds of a Brexit has shifted a few percentage points with Boris on the `out' side,",None,[],"[['None', '0.6528'], ['Simon Smith', '0.2271'], ['Boris Johnson', '0.0896'], ['David Cameron', '0.0305']]"
2016-09-12,"If she were to trigger * NL * Article 50 before the British public knows what the real Brexit deal is, I think that would be dereliction of duty on her part,",Owen Smith,"['Q19599939', 'Q390690']","[['Owen Smith', '0.8104'], ['Theresa May', '0.1014'], ['None', '0.0796'], ['Andrew Marr', '0.0086']]"
2016-08-12,"So while U.K. bankers may not be wise to lay out a down payment on a mortgage quite yet, they also may still have brighter days ahead. It just could require moving to another country. Another unanticipated ripple effect from Brexit is that U.S. banks could grow bigger, not smaller. They will need to expand their presence in the EU, and that could be done by buying a bank with all the necessary regulatory approvals in place. American firms have for years had their key European operations centered in London, but when the Brexit is complete, U.S. banks and insurers will have to head somewhere else. For some, that may mean acquisitions. At a time when most large U.S. financial institutions are effectively restricted from growing much larger at home, thanks to post-crisis regulation, a July PwC report titled",None,[],"[['None', '0.9132'], ['Prime Minister Theresa May', '0.0868']]"
2016-07-01,"The police have been brilliant, and I really hope that anyone else who does have similar experiences comes forward. I did vote for Brexit, but I am beginning to regret that I did if this is what has happened.",Nadeem Ahmed,['Q6957513'],"[['Nadeem Ahmed', '0.5099'], ['None', '0.4901']]"
2016-08-01,"win the day, the sting of Brexit surprise reminds us to take nothing for granted,",Hillary Clinton,['Q6294'],"[['Hillary Clinton', '0.6144'], ['None', '0.3098'], ['Donald Trump', '0.0487'], ['David Stringer', '0.0118'], ['Betty Liu', '0.008'], ['Andy Clarke', '0.0073']]"
2016-07-05,"Brexit has increased volatility in a world which is already uncertain,",Pier Carlo Padoan,['Q15768223'],"[['Pier Carlo Padoan', '0.9192'], ['None', '0.0808']]"
2016-07-15,"Brexit is neutral in all regards, expect for currency, which is favorable,",Stephen Young,"['Q21458224', 'Q27924846', 'Q3498689', 'Q50365763', 'Q7609865']","[['Stephen Young', '0.9614'], ['None', '0.0386']]"
2016-12-08,defy the will of the British people by voting to block Brexit.,None,[],"[['None', '0.558'], ['Dominic Grieve', '0.3812'], ['Prime Minister Theresa May', '0.0608']]"
2016-09-02,I am really concerned at the implications for the Republic of Ireland of the Brexit Vote as we are more impacted than any other member state.,None,[],"[['None', '0.6331'], ['Arlene Foster', '0.3669']]"
2016-09-02,"In the face of the nation's economic woes, the fact salaries are up is simply testament to UK business's determination to keep the economy moving post-Brexit, while also recognising the need to attract candidates with competitive salaries.",None,[],"[['None', '0.8542'], ['Donald Trump', '0.1458']]"
2016-12-16,"New Zealand is working with the UK on the shape of our post-Brexit relationship and the new High Commissioner will be responsible for leading this effort,",Murray McCully,['Q58291'],"[['Murray McCully', '0.7049'], ['None', '0.2442'], ['Jerry Mateparae', '0.0374'], ['Lockwood Smith', '0.0135']]"
2016-12-01,"The (woman sewing) is one I painted last July when everything was going crazy with politics -- Brexit, the whole bit. I try not to put politics in my paintings but sometimes as I'm painting, a story develops subconsciously. There's an American and a British flag laying on her sewing table. I don't know if she's repairing the flags or changing them. I think that's a painting about coming together again, or bridging a gap that shouldn't really be here. There's a few paintings that are boxer-related. I had this bad patch last year and they kind of represent getting beat up a bit but surviving. The Muhammad Ali painting is from a photo when he was 15. The Bob Dylan painting somehow morphed into a mix between me and Dylan, with bandages on the face.",None,[],"[['None', '0.6205'], ['Muhammad Ali', '0.2243'], ['Bob Dylan', '0.1552']]"
2016-07-07,"When you consider 200,000 men died in Iraq, to draw any correlation between that and the Brexit vote is disgusting.",David Coburn,"['Q16979872', 'Q3017692']","[['David Coburn', '0.3885'], ['John McTernan', '0.3029'], ['None', '0.2018'], ['Tony Blair', '0.0443'], ['Nigel Farage', '0.0332'], ['David Cameron', '0.0294']]"
2016-09-29,"British consumers appear to have shrugged off Brexit fears about the economy as wages continue to grow faster than prices, rising employment boosts income, and low interest rates encourage people to spend rather than save,",Joe Staton,"['Q1691605', 'Q6212495']","[['Joe Staton', '0.7964'], ['None', '0.2036']]"
2016-12-02,In a Brexit tantrum Richmond has replaced its inspired MP with an utterly dreary Lib Dem (even by Lib Dem standards). Big big shame. Hey ho.,None,[],"[['None', '0.8999'], ['Zac Goldsmith', '0.0588'], ['Sarah Olney', '0.0413']]"
2016-09-05,Reduction of @Sainsburys meal deal range by 2/3rds has basically had a greater negative impact on UK productivity than Brexit ever could.,None,[],"[['None', '0.74'], ['Daniel Jackson', '0.177'], ['Jeremy Corbyn', '0.083']]"
2016-07-26,the volatility and uncertainty (of Brexit) could have a serious impact on us as a country.,Pravin Gordhan,['Q561279'],"[['Pravin Gordhan', '0.7818'], ['None', '0.2182']]"
2016-08-15,We're all Brexiteers now.,Sajid Javid,['Q727798'],"[['Sajid Javid', '0.367'], ['Theresa May', '0.2495'], ['None', '0.2344'], ['Prime Minister Theresa May', '0.1127'], ['BORIS JOHNSON', '0.018'], ['PHILIP HAMMOND', '0.0087'], ['DAVID DAVIS', '0.0068'], ['Jeremy Corbyn', '0.0029']]"
2016-05-26,Brexit is likely to stay their hand,David Stockton,['Q18638053'],"[['David Stockton', '0.833'], ['None', '0.143'], ['Jerome Powell', '0.024']]"
2016-09-30,"Certainly some of the data has been better but I think that's a longer-term concern about the economic dislocation caused by Brexit,",Alvin Tan,"['Q19898568', 'Q4738235']","[['Alvin Tan', '0.8155'], ['None', '0.1845']]"
2016-05-12,"In the case of a Brexit, if trade barriers were put in place, we could go and produce in Europe,",Tim Warrillow,['Q50841755'],"[['Tim Warrillow', '0.9704'], ['None', '0.0241'], ['Mark Potter', '0.0055']]"
2016-06-30,"Lara could be out. Amy Robach is safe. Michael doesn't want to do news -- he's not going to cover Libya or Brexit,",None,[],"[['None', '0.3604'], ['Lara Spencer', '0.3236'], ['Michael Strahan', '0.2546'], ['Amy Robach', '0.0614']]"
2016-07-16,Ludicrous Brexit lies undoubtedly contributed to destabilising.,Chris Bryant,"['Q1077050', 'Q266146', 'Q56585869']","[['Chris Bryant', '0.5485'], ['None', '0.4515']]"
2016-07-12,"The new Conservative Leader has emphasized that she will honor the decision of leaving the EU, bringing some relief to markets, as investors were seeing that the UK government had no plan for a Brexit victory, and that the referendum took them to a political limbo.",None,[],"[['None', '0.9004'], ['Theresa May', '0.0996']]"
2016-12-01,"It's been five months since the Brexit decision was made by the British people, and I think it's important that we have clarity and that we know exactly what the British plan is,",Jean-Marc Ayrault,['Q7711'],"[['Jean-Marc Ayrault', '0.7947'], ['None', '0.1331'], ['Prime Minister Theresa May', '0.0722']]"
2016-08-08,"There are concerns that big business will start hoarding cash as a response to the Brexit vote. One of the ways they normally do this is by delaying payments to suppliers,",None,[],"[['None', '0.9177'], ['Theresa May', '0.0823']]"
2016-02-24,"While `Brexit' is an opportunity for not just New Zealand businesses, product and people, it is an excellent opportunity to head a rift dating back to 1973.",Winston Peters,"['Q1396178', 'Q5625319']","[['Winston Peters', '0.8499'], ['None', '0.1409'], ['Boris Johnson', '0.0092']]"
2016-07-04,a clear warning flag for the wider post Brexit economic outlook.,Tim Moore,"['Q16123784', 'Q16732824', 'Q7804002', 'Q7804003', 'Q7804005', 'Q7804006', 'Q7804007']","[['Tim Moore', '0.8464'], ['None', '0.1537']]"
2016-07-01,"Brexit is just another in a long line of deflationary events over the last few years all reinforcing market expectations that interest rates will stay lower for longer, which in turn pushes bond yields down,",None,[],"[['None', '0.8678'], ['Mark Wills', '0.1322']]"
2016-05-27,Brexit Views From The Costa Del Sol,None,[],"[['None', '0.495'], ['Sadiq Khan', '0.2236'], ['Mark Stone', '0.1072'], ['David Cameron', '0.07'], ['Sol Campbell', '0.0284'], ['Boris Johnson', '0.0184'], ['Tessa Jowell', '0.0162'], ['George Osborne', '0.0161'], ['Harriet Harman', '0.0129'], ['Ed Balls', '0.0122']]"
2016-12-23,"It is true that Brexit has yet to be triggered, so we don't really know what its impact will be. And, a Trump administration ought to lead to a more vibrant U.S. economy. But, the Euro has already undergone a large adjustment which can be seen in European corporate earnings. While Fed tightening could provide a nice tailwind for the USD, we believe watching the ECB is more critical. From just over par, the EURUSD has more upside on further ECB tapering than it has downside from more Fed tightening.",None,[],"[['None', '0.9637'], ['Donald Trump', '0.0363']]"
2016-07-01,"No matter the outcome, #Brexit polls demonstrate how quickly half of any population can be convinced to vote against itself. Quite a lesson",Edward Snowden,['Q13424289'],"[['Edward Snowden', '0.7818'], ['None', '0.1922'], ['Fareed Zakaria', '0.026']]"
2016-08-15,"They are a fundamental part of my vision of building a country that works for everyone, not just the privileged few. I also want those firms to be able to take advantage of the opportunities presented by Brexit, such as exporting to new destinations.",Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.8421'], ['None', '0.1579']]"
2016-04-28,"Brexit would cause, at the very least, two years of uncertainty and the reality is that period could prove fatal for those tech firms. Vote Leave cannot tell you what our trading strategy would be once we walk away from the world's largest trading bloc. Why put what we have at risk in favour of taking a leap into the unknown.",Nick Boles,['Q264365'],"[['Nick Boles', '0.7201'], ['None', '0.2799']]"
2016-07-19,is an indication of how serious employers view Brexit,Enda Kenny,"['Q5375903', 'Q57815']","[['Enda Kenny', '0.6066'], ['None', '0.3934']]"
2016-07-17,The very substantial fall in the share price (-25% as we write) post-Brexit suggests that the stock market anticipates a disappointing third quarter update.,None,[],"[['None', '0.9279'], ['Philip Waller', '0.0721']]"
2016-07-07,"We all understand the massive impact of the referendum result, and we appreciate that Tata Steel, like so many other businesses, need time to review and evaluate the implications of Brexit. However, It is now absolutely critical that Tata Steel and the UK Government come forward with a specific timetable.",Stephen Kinnock,['Q3377178'],"[['Stephen Kinnock', '0.4131'], ['None', '0.3818'], ['Anna Soubry', '0.205']]"
2016-12-15,"What I would say to EDF, if they tell me what their priorities are in terms of what we should get out of Brexit, they should know they can talk to someone who will listen and we'll reflect that in our talks with the cabinet committee,",Greg Clark,"['Q16194481', 'Q16728072', 'Q271800', 'Q27914893', 'Q5605416', 'Q5605417', 'Q5606856', 'Q59165228']","[['Greg Clark', '0.7383'], ['None', '0.2617']]"
2016-08-24,"2.5 million people in the U.K. who normally do not vote or in many cases never voted in their lives went to their local polling stations on June the 23rd to vote for Brexit,",Nigel Farage,['Q318471'],"[['Nigel Farage', '0.9233'], ['None', '0.0702'], ['Donald Trump', '0.0065']]"
2016-05-24,"Cerulli believes that if only half of asset managers' worries about Brexit are justified, then the industry should be firmly in favor of remaining in the EU,",Barbara Wall,"['Q13634436', 'Q4859383']","[['Barbara Wall', '0.8786'], ['None', '0.1214']]"
2016-08-25,We need to take strong action on legal and illegal migration. The Government must get on with Brexit and take back control of our borders.,Charlie Elphicke,['Q303351'],"[['Charlie Elphicke', '0.9185'], ['None', '0.0815']]"
2016-08-02,"a form of building bridges after Brexit,",Timothy Kirkhope,['Q334035'],"[['Timothy Kirkhope', '0.779'], ['None', '0.1789'], ['Julian King', '0.0269'], ['Queen of England', '0.0152']]"
2016-12-07,"After Brexit, the UK will still be the UK. Life will be different, but we will be that confident, global, outward-looking country,",None,[],"[['None', '0.7793'], ['Theresa May', '0.2207']]"
2016-09-16,"However, we still have a lot of exposure in our funds and we still believe in having currency exposure in multi-asset funds as overseas investors will focus on Brexit after the negotiations.",David Coombs,"['Q5232547', 'Q5233278', 'Q54889010']","[['David Coombs', '0.8104'], ['None', '0.1644'], ['fund manager', '0.0252']]"
2016-12-20,I'm never going to stop arguing for independence. What we are talking about here is independence in the specific context of Brexit.,Prime Minister Theresa May,['Q264766'],"[['Prime Minister Theresa May', '0.6415'], ['None', '0.3585']]"
2016-08-24,"More and more people now agree that there has to be a `soft Brexit,",Geert Bourgeois,['Q2355582'],"[['Geert Bourgeois', '0.9487'], ['None', '0.0493'], ['Nicola Sturgeon', '0.002']]"
2016-07-06,"The glorious Brexit heroes of yesterday are the sad heroes of today,",Jean-Claude Juncker,['Q57661'],"[['Jean-Claude Juncker', '0.8878'], ['None', '0.0963'], ['Nigel Farage', '0.0159']]"
2016-08-04,need to put the case to government as to the impact of Brexit on their businesses,David McGee,"['Q16117358', 'Q22002422', 'Q58460473']","[['David McGee', '0.975'], ['None', '0.025']]"
2016-09-06,We have seen very little impact as a result of the Brexit vote.,Steve Morgan,"['Q4576662', 'Q56254201', 'Q7613417']","[['Steve Morgan', '0.9713'], ['None', '0.0287']]"
2016-09-21,"I invite the UK, on this first occasion at the UN after Brexit, to end the the colonial anachronism of Gibraltar with and agreed solution between both countries to restore the territorial integrity of Spain and bring benefits to the people of Gibraltar and the Spanish area of Campo de Gibraltar.",King Felipe VI,['Q191045'],"[['King Felipe VI', '0.9001'], ['None', '0.0999']]"
2016-09-12,"If they [ Clintons ] think by insulting the silent majority, they are doing themselves a favor by effectively demeaning people, by demonizing people, then they were in for a big shock in Brexit and I suspect she's [ Hillary ] in for a big shock in this American campaign as well.",Nigel Farage,['Q318471'],"[['Nigel Farage', '0.7954'], ['None', '0.1843'], ['David Cameron', '0.0107'], ['Hillary Clinton', '0.0096']]"
2016-07-02,passionate about the opportunities from Brexit,Andrea Leadsom,['Q750091'],"[['Andrea Leadsom', '0.6838'], ['None', '0.2409'], ['Theresa May', '0.0506'], ['Liam Fox', '0.0086'], ['Stephen Crabb', '0.0083'], ['Michael Gove', '0.0078']]"
2016-12-21,"The European parliament will get a vote on the final Brexit deal. It would be absurd if the UK parliament and, more importantly, the British public were denied a say. Theresa May must stop trying to duck accountability by repeating empty platitudes.",None,[],"[['None', '0.8457'], ['Theresa May', '0.1543']]"
2016-07-15,"The reason that I didn't like Brexit is that I thought it would reduce cooperation and increase the level of dysfunction at a time when the last thing we need is something else that doesn't work as well as it used to work,",President Bill Clinton,['Q1124'],"[['President Bill Clinton', '0.3701'], ['Tony Blair', '0.3562'], ['None', '0.2737']]"
2016-07-11,Theresa May won the support of 60% of Tory colleagues. She is ideally placed to implement Brexit on the best possible terms for the British people and she has promised she will do so.,Andrea Leadsom,['Q750091'],"[['Andrea Leadsom', '0.5563'], ['None', '0.2388'], ['Theresa May', '0.2049']]"
2016-07-29,"This unnecessary hesitation is putting finance for the project in doubt and 25,000 new jobs at risk immediately after Brexit,",None,[],"[['None', '0.8741'], ['Greg Clark', '0.0856'], ['Barry Gardiner', '0.0288'], ['Prime Minister Theresa May', '0.0114']]"
2016-08-15,"Although at a time of deep uncertainty following Boris's very own Brexit victory, the prime minister risks returning to a new list of countries the Foreign Secretary has offended.",Pete Wishart,['Q261675'],"[['Pete Wishart', '0.5887'], ['None', '0.2339'], ['Boris Johnson', '0.1148'], ['Theresa May', '0.0328'], ['Michael Gove', '0.0298']]"
2016-09-15,"For now, there isn't a strong case for additional stimulus, but we are a little concerned that activity could weaken now that Brexit is much more in the news after a summer lull. Arguments and animosity about the situation along with the uncertainty that Brexit creates are likely to weigh on sentiment as the positive effects of the Olympics and a warm end to the summer start to fade.",None,[],"[['None', '0.8613'], ['Mark Carney', '0.0768'], ['Philip Hammond', '0.0619']]"
2016-05-17,"In fact, the most popular destination currently for people's spare cash is their savings account, rather than the high street, whilst many are using it to pay off debt. Concerns about utility bills, food prices and job security declined on the previous quarter but concern about the economy and political stability, no doubt due to Brexit, rose slightly.",Steve Smith,"['Q11894442', 'Q16885757', 'Q23418614', 'Q2347298', 'Q23978380', 'Q28675476', 'Q3499110', 'Q3499112', 'Q3499118', 'Q3499120', 'Q3499123', 'Q376304', 'Q463200', 'Q51546050', 'Q5368718', 'Q7613961', 'Q7613962', 'Q7613964', 'Q7613965', 'Q7613967', 'Q7613968', 'Q7613969', 'Q7613970', 'Q7613971', 'Q7613972', 'Q7613974', 'Q7613975', 'Q7613977', 'Q7613978', 'Q7613979', 'Q7613980', 'Q7613981', 'Q7613982', 'Q7613983', 'Q9345803', 'Q943448']","[['Steve Smith', '0.9724'], ['None', '0.0276']]"
2016-05-17,"In plain English, if we have a Tory Brexit then we have the likelihood of more Tory cuts to come,",John McDonnell,"['Q10379941', 'Q47348016', 'Q55196720', 'Q6247660', 'Q6247662', 'Q6247664', 'Q6247666', 'Q694695']","[['John McDonnell', '0.8536'], ['None', '0.1464']]"
