date,quotation,speaker,qids,probas
2020-01-15,"The future salary threshold for EU nationals coming to work in post-Brexit Britain has been well publicised at a possible £ 30,000,",Matthew Evans,"['Q57003026', 'Q6790472']","[['Matthew Evans', '0.9416'], ['None', '0.0584']]"
2020-03-10,"If there is a crash-out Brexit come next January 1 -- which is a distinct possibility -- and if WTO tariffs go on beef going into the UK, the ones that will have any chance of surviving will be those with a very strong brand.",None,[],"[['None', '0.7439'], ['Jim Power', '0.2561']]"
2020-02-06,It shows why [ the Brexit ] transition period must end this year. Better off out,Nigel Farage,['Q318471'],"[['Nigel Farage', '0.8338'], ['None', '0.1426'], ['Andrew Bridgen', '0.0211'], ['Boris Johnson', '0.0025']]"
2020-01-29,"The EU will be vigilant in Brexit deal implementation in Northern Ireland,",Ursula von der Leyen,['Q60772'],"[['Ursula von der Leyen', '0.9459'], ['None', '0.0541']]"
2020-01-29,"Britain is a battleground, if you will, for competing interests on this question about what Doha is exactly up to in the region. So, this is also driving the conversation and also will feed into how post-Brexit Britain will deal with Doha and vice versa,",Khattar Abou Diab,['Q30728387'],"[['Khattar Abou Diab', '0.6344'], ['None', '0.3656']]"
2020-01-20,Vital Industries to benefit from post-Brexit Britain,None,[],"[['None', '0.8883'], ['Liz Truss', '0.1117']]"
2020-01-30,Britain in the time of Brexit,Martin Parr,"['Q6776345', 'Q962442']","[['Martin Parr', '0.8491'], ['None', '0.116'], ['Grayson Perry', '0.0349']]"
2020-02-20,"With some Brexit clarity, green shoots of growth in the UK economy, and further cost-cutting, things may start to look up for Lloyds after a difficult time.",Ian Murray,"['Q15499527', 'Q527729', 'Q578432', 'Q644360']","[['Ian Murray', '0.7755'], ['None', '0.2005'], ['Boris Johnson', '0.024']]"
2020-02-01,"Farage presented with'M r Brexit' portrait as former MEP says he won't miss Euro `dump' ,",Nigel Farage,['Q318471'],"[['Nigel Farage', '0.5819'], ['None', '0.3376'], ['Nicola Sturgeon', '0.056'], ['Russell Smith', '0.0245']]"
2020-03-11,"At least he admitted public opinion is firmly behind Brexit, despite the constant denials of his ilk over the last three/four years.",Chris Richard,"['Q5107859', 'Q530162']","[['Chris Richard', '0.906'], ['None', '0.0882'], ['Nadine Dorries', '0.0058']]"
2020-02-07,Brexit Party candidate heaves himself into two wheelie bins he has fastened together with a metal rod beside a village road while celebrating the excellent value for money it affords,None,[],"[['None', '0.515'], ['Steve Jobs', '0.485']]"
2020-01-13,"But there is still a lot more to be done and manufacturers must continue to work hard to put health and wellbeing at the heart of their business plans. With 10% of the manufacturing workforce due to retire in the next three years and the pressures of new immigration rules post-Brexit, skilled workers have never been more important.",Tim Thomas,"['Q471466', 'Q59201797', 'Q7804385', 'Q984074']","[['Tim Thomas', '0.79'], ['None', '0.21']]"
2020-03-04,It's difficult. Brexit doesn't encourage people. It would be a lot harder now.,Fernando Marques,"['Q2368806', 'Q57907151']","[['Fernando Marques', '0.8163'], ['None', '0.1837']]"
2020-02-04,"So we put our house up in May, before Brexit, before the summer - a really silly time.",None,[],"[['None', '0.5924'], ['Peter Devlin', '0.4076']]"
2020-01-17,Taking the flag down on Brexit day would send completely the wrong message. We believe all MSPs should be able to have their say on this issue and we are now looking at how this might be brought to a vote of the full Parliament.,Michael Russell,"['Q18530388', 'Q1929110', 'Q21166780', 'Q22911767', 'Q447849', 'Q682180']","[['Michael Russell', '0.3697'], ['None', '0.3289'], ['Ken Macintosh', '0.2256'], ['Tricia Marwick', '0.0758']]"
2020-01-20,"I do not know the extent to which that influenced the voters' decision on Brexit but these are major, major decisions affecting a country's future and the people's future. How can it be based on false facts?",None,[],"[['None', '0.6691'], ['Heng Swee Keat', '0.242'], ['Chan Chun Sing', '0.0889']]"
2020-01-31,"Leatherhead is well positioned to assist members through 2020 on all things Brexit,",Mark Butcher,['Q6766945'],"[['Mark Butcher', '0.9029'], ['None', '0.0971']]"
2020-01-31,"The EU in the beginning was a strong bloc because it included Germany, the likes of the UK, Ireland. Mr Farage has championed the Brexit movement. (Image: Getty) But as soon as they started to add economies that had never been practising capitalism... That is not an EU capable [ of continuing ].",Chris Grigg,"['Q16873036', 'Q5106728']","[['Chris Grigg', '0.4117'], ['Sultan Ahmed', '0.3644'], ['None', '0.2239']]"
2020-01-22,"The year ahead will be crucial, notably as the UK and the EU negotiate a post-Brexit trade agreement-Ireland being the most exposed EU economy to the UK,",Michael Taylor,"['Q14950779', 'Q15052960', 'Q15145477', 'Q17161464', 'Q21459132', 'Q21779153', 'Q24007341', 'Q26742210', 'Q3068404', 'Q38917715', 'Q43138659', 'Q51817126', 'Q56381133', 'Q58417848', 'Q58716780', 'Q6125086', 'Q6834808', 'Q6834809', 'Q6834811', 'Q6834813', 'Q6834814', 'Q6834815', 'Q6834816', 'Q6834818', 'Q6834819', 'Q6834820']","[['Michael Taylor', '0.8611'], ['None', '0.1389']]"
2020-03-05,"to make their voices heard, because a no-deal Brexit will bring nothing but pain to both sides.",Phil Hogan,['Q983508'],"[['Phil Hogan', '0.6692'], ['None', '0.1816'], ['David Frost', '0.1493']]"
2020-02-07,All change isn't change for the better-look at Brexit and Trump for example.,Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.8416'], ['None', '0.1109'], ['Eamon Ryan', '0.035'], ['Pat Kenny', '0.0125']]"
2020-01-03,"All of the research shows that the Border region is most exposed to the impact of Brexit. I want to ensure that businesses in the region are supported by Government in responding to the challenges and uncertainties which lie ahead,",Heather Humphreys,['Q5693903'],"[['Heather Humphreys', '0.9706'], ['None', '0.0295']]"
2020-02-01,could re-join the EU if Brexit doesn't work out for them,Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.818'], ['None', '0.182']]"
2020-01-10,Do you fear the House of Lords will block Brexit?,None,[],"[['None', '0.5797'], ['Boris Johnson', '0.2666'], ['Laura Kuenssberg', '0.0919'], ['Theresa May', '0.0618']]"
2020-01-25,"There is the sense of treading water until Brexit is done at the end of January, till the EU gets its negotiating mandate lined up, and the Irish election is out of the way,",Stephen Kelly,"['Q331908', 'Q7609663', 'Q7609664', 'Q7609665']","[['Stephen Kelly', '0.8177'], ['None', '0.1823']]"
2020-02-01,"Tonight we have left the EU -- an extraordinary turning point in the life of this country. Let us come together now to make the most of all the opportunities Brexit will bring -- and let's unleash the potential of the whole UK,",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.7828'], ['None', '0.1324'], ['prime minister Theresa May', '0.0848']]"
2020-01-31,The pub really has got the feel-good factor today. We all know this is the start of Brexit and it's finally happening after three years.,Steve Cook,"['Q20676299', 'Q5611749', 'Q7612260', 'Q7612261', 'Q7612264']","[['Steve Cook', '0.8062'], ['None', '0.1938']]"
2020-02-01,Tonight we have left the EU-an extraordinary turning point in the life of this country. Let us come together now to make the most of all the opportunities Brexit will bring-and let's unleash the potential of the whole UK.,Boris Johnson,['Q180589'],"[['Boris Johnson', '0.6764'], ['None', '0.3022'], ['Theresa May', '0.0214']]"
2020-02-04,"Brexit or not, London will be closer from 30th April. Eurostar will take travellers from the centre of Amsterdam to the heart of London in four hours.",Roger van Boxtel,['Q3439649'],"[['Roger van Boxtel', '0.7513'], ['None', '0.1772'], ['Mike Cooper', '0.0715']]"
2020-01-27,"It's still a Brexit of sorts,",None,[],"[['None', '0.8441'], ['Boris Johnson', '0.0956'], ['Nigel Farage', '0.0603']]"
2020-03-02,Liberal Democrats will continue to fight against the PM's damaging hard Brexit plans. We will continue to push for what is in the national interest - the closest possible relationship with the EU.,None,[],"[['None', '0.4841'], ['Boris Johnson', '0.2036'], ['Prince Harry , Duke of Sussex', '0.1341'], ['Donald Trump', '0.0904'], ['Liz Truss', '0.0535'], ['Sarah Olney', '0.0342']]"
2020-02-10,"Without Brexit, we could have used our passport to expand across Europe,",Anne Boden,['Q57515716'],"[['Anne Boden', '0.9022'], ['None', '0.0978']]"
2020-01-10,"However, growth was modest and coming off a historically low base so UK business will be hoping for quick government action to get the UK back on the path to growth including an investment in upskilling the workforce. Lingering uncertainty around the Brexit deal to be secured will continue to weigh on employers' decision-making around hiring and investment over the coming months, as well as jobseekers desires to seek new opportunities.",James Stewart,"['Q16214641', 'Q16236569', 'Q21457696', 'Q23618352', 'Q2706595', 'Q43394132', 'Q43395260', 'Q43911566', 'Q4444819', 'Q4444825', 'Q6137399', 'Q6143635', 'Q6143644', 'Q6143657', 'Q6143663']","[['James Stewart', '0.609'], ['None', '0.391']]"
2020-01-20,It's significant that the Assembly sends a clear message today that we reject Brexit,Kellie Armstrong,['Q24052787'],"[['Kellie Armstrong', '0.9171'], ['None', '0.0829']]"
2020-02-05,"So that's what our message is, now we've got Brexit out the way, and arguably a lot of money has been hoarded and not put through social services, we would like to see a lot more money from into this sector.",None,[],"[['None', '0.5077'], ['Penny Williams', '0.4923']]"
2020-03-17,"The last thing economy needs, on top of coronavirus, is the further shock of a hard or no-deal Brexit at end of this year,",Ben Bradshaw,"['Q17385634', 'Q264618']","[['Ben Bradshaw', '0.8791'], ['None', '0.0787'], ['Dominic Raab', '0.0422']]"
2020-01-30,"We' ve known ever since the Brexit vote that a lot of people who voted No in 2014 have been changing their minds or considering changing their minds at least about independence, and I think the looming reality of Brexit will be crystallising the thought in a lot of people's heads that Scotland should be an independent country.",None,[],"[['None', '0.7509'], ['Nicola Sturgeon', '0.1063'], ['Patrick Harvie', '0.0953'], ['Richard Leonard', '0.0173'], ['Boris Johnson', '0.0167'], ['Jackson Carlaw', '0.0135']]"
2020-01-26,Brexit Day 50p coins are absolutely daft,Denis MacShane,['Q695061'],"[['Denis MacShane', '0.8428'], ['None', '0.1287'], ['Sajid Javid', '0.0285']]"
2020-02-03,"For Johnson, a trade pact with the U.S. offers an opportunity to show the opportunities of Brexit, even though the government's own internal estimates suggest any gains would be negligible,",None,[],"[['None', '0.8385'], ['Michel Barnier', '0.1189'], ['Bill Cash', '0.0426']]"
2020-02-11,Geoffrey doesn't want to go yet he certainly wants to stay as attorney general through the [ Brexit ] negotiations.,None,[],"[['None', '0.7129'], ['Lucy Frazer', '0.138'], ['Geoffrey Cox', '0.1084'], ['Boris Johnson', '0.0407']]"
2020-02-01,Brexit is Britain's greatest modern moment,Nigel Farage,['Q318471'],"[['Nigel Farage', '0.858'], ['None', '0.1296'], ['Nicola Sturgeon', '0.0048'], ['Peter Grant', '0.0042'], ['Kezia Dugdale', '0.0033']]"
2020-01-30,"The UK wants to achieve a gold standard with the first post Brexit free trade agreement with New Zealand. We should look to having measures and guidelines in there that will promote the two-way flow of capital, technology and talent to help drive both our economies.",James Brown,"['Q16195919', 'Q19324906', 'Q21003859', 'Q23664069', 'Q27915121', 'Q27915122', 'Q28567916', 'Q30122834', 'Q43127964', 'Q43914306', 'Q44476131', 'Q46143791', 'Q47414128', 'Q51586591', 'Q57942983', 'Q6130307', 'Q6130311', 'Q6130322', 'Q6130325', 'Q6130327', 'Q6130333', 'Q6130335', 'Q6130341', 'Q6130343', 'Q6130347', 'Q6193882', 'Q975078', 'Q980087']","[['James Brown', '0.6812'], ['None', '0.2692'], ['Jacinda Ardern', '0.0496']]"
2020-01-08,"Now that the doubts over Brexit and the elections are calming down. Panthera Group sees the UK, and London in particular, as a place to make long term investments.",None,[],"[['None', '0.8897'], ['Michael Doherty', '0.1103']]"
2020-02-11,"This is a terrific piece of work that pierces the ugly, Brexit-amplified confusion over who we are as a people and as a nation -- in a language that always rings true,",None,[],"[['None', '0.6319'], ['Rafe Spall', '0.3028'], ['Helen Murray', '0.0653']]"
2020-01-24,"An improving economy and the careful management of our public finances, along with the sensitive stewardship of the upcoming Brexit trade negotiations, will enable us to drive that momentum and provide more houses, more hospital beds, more nurses and Gardai, deliver climate action, and drive tax reform.",None,[],"[['None', '0.6317'], ['Ursula von der Leyen', '0.3683']]"
2020-01-14,"there is no doubt there are serious challenges ahead: The impact of Brexit, austerity and other issues.",Mary Lou McDonald,['Q467414'],"[['Mary Lou McDonald', '0.9559'], ['None', '0.0374'], ['Andrew Forsyth', '0.0067']]"
2020-01-22,would be getting the accolades from Brexit,Leo Varadkar,['Q1728820'],"[['Leo Varadkar', '0.66'], ['None', '0.1798'], ['Michael McDowell', '0.1602']]"
2020-03-04,"Darroch had the unenviable and Herculean task of explaining Britain and Brexit to the US, and Trump to the UK; for that you have to be a master of communication and analysis. I can't think of a stranger passage in the history of the special relationship or a better author to explain to all of us what was going on.",None,[],"[['None', '0.7717'], ['Sue Hendra', '0.0799'], ['Greg James', '0.0546'], ['Dav Pilkey', '0.0535'], ['Chris Smith', '0.0403']]"
2020-03-25,"Our police service has a unique capability to adapt to rapidly changing circumstances and major events, as already demonstrated in the last year by Brexit planning and COP26. I know that the same will apply in the face of Covid-19.",David Crichton,"['Q43915573', 'Q5232663']","[['David Crichton', '0.8546'], ['None', '0.1154'], ['Prince Charles', '0.0213'], ['John Swinney', '0.0075'], ['Will Kerr', '0.0013']]"
2020-02-06,"The election has given certainty, people can make decisions knowing Brexit is happening. Indecision is the biggest crime of all. Firms plan start dates and staged payments. Delays make a mockery of that.",Mark Beard,"['Q28837216', 'Q6766680', 'Q6766681']","[['Mark Beard', '0.7177'], ['None', '0.2744'], ['Boris Johnson', '0.0079']]"
2020-01-30,"Despite recent dovish statements, impressive PMI gains do highlight an economic resurgence taking place in the UK economy this month after Brexit and election fears subsided. Despite Brexit technically taking place at the end of this week, there will be little change for the time being.",None,[],"[['None', '0.5963'], ['Mark Carney', '0.4037']]"
2020-01-19,"StandUp4Brexit, the organization behind the crowdfunder, says if it does not reach the target, the money will be donated to veterans' charity Help For Heroes,",None,[],"[['None', '0.4401'], ['Boris Johnson', '0.3802'], ['Richard Tice', '0.1451'], ['Big Ben', '0.0347']]"
2020-01-24,"We do have to bear in mind that throughout the whole Brexit process, we were focusing on how to prevent damage to our communities, and that is why all of the candidates who are going for the leadership voted against Theresa May's deal three times, and all of them voted against Boris Johnson's deal.",Keir Starmer,['Q6383803'],"[['Keir Starmer', '0.5796'], ['None', '0.4204']]"
2020-01-14,"He is the engineer of Brexit, responsible in part for helping to harm the thing -- science -- he loves. He also holds disparaging views on some people, while being prepared to engage in aggressive populist tactics that are unhealthy,",Mike Galsworthy,['Q52091283'],"[['Mike Galsworthy', '0.8517'], ['None', '0.0918'], ['Dominic Cummings', '0.0565']]"
2020-03-03,"It is crunch time for the `unicorn' (unrealistic) Brexit that the Leave campaign promised in 2016,",Michel Barnier,['Q438465'],"[['Michel Barnier', '0.8392'], ['None', '0.1608']]"
2020-03-05,the UK will renege on these commitments and is pursuing a hard Brexit.,David Frost,"['Q1174477', 'Q380865', 'Q5233878', 'Q5233879', 'Q5233881', 'Q5233884']","[['David Frost', '0.5707'], ['None', '0.2358'], ['Phil Hogan', '0.1935']]"
2020-01-29,"The whole Brexit discussion has caused a great deal of division,",None,[],"[['None', '0.8396'], ['Boris Johnson', '0.1604']]"
2020-01-08,"In a wide-ranging interview with the Financial Times, the outgoing governor warned that central banks were running out of the ammunition needed to combat a downturn... Despite concerns about a potential downturn, Mark Carney was optimistic about the City's prospects after Brexit. He made clear there was no point in London, as a world financial centre, being a rule taker from Brussels. He urged the UK government to avoid aligning its financial regulations with those in the EU in the hope of better trade terms after Brexit. `It is not desirable at all to align our approaches, to tie our hands and to outsource regulation and effectively supervision of the world's leading complex financial system to another jurisdiction,' he said.",Mark Carney,['Q192533'],"[['Mark Carney', '0.6105'], ['None', '0.3585'], ['Boris Johnson', '0.031']]"
2020-01-31,"Tonight Britain departs from the EU, but, as Boris Johnson will tell the nation, this is not an end, it is a beginning. Mr Johnson recognises that Brexit is a unique opportunity to rethink the way we do everything. Britain is taking back control, and once our lawmakers are fully in charge, there will be no one else to blame for error or inaction. The future will be in our hands.",Winston Churchill,['Q332528'],"[['Winston Churchill', '0.6896'], ['None', '0.3104']]"
2020-03-11,"When the Government was preparing for Brexit last year and had contingency plans to turn the M20 into a lorry park, it called Hill & Smith about the barriers it would need as it's probably the only British firm that could supply them.",None,[],"[['None', '0.7772'], ['fund manager', '0.2228']]"
2020-02-04,Our fight for a progressive Britain starts with our campaign to prevent a no-deal Brexit at the end of this year.,Ed Davey,['Q296689'],"[['Ed Davey', '0.5357'], ['None', '0.3263'], ['Boris Johnson', '0.0702'], ['Charlie Stayt', '0.0238'], ['Layla Moran', '0.0215'], ['Susanna Reid', '0.0178'], ['Len Mccluskey', '0.0047']]"
2020-03-06,We are using processes and staffing levels we set up in case of a no-deal Brexit.,None,[],"[['None', '0.9291'], ['Matt Hancock', '0.0709']]"
2020-01-22,"We estimate that the uncertainties surrounding Brexit and the social movements in France have adversely impacted the revenue by about EUR18 million,",Jacques Gounon,['Q3159014'],"[['Jacques Gounon', '0.731'], ['None', '0.269']]"
2020-01-31,"But there are people who have taken that decision as being a new form of nativism. And no what matter your views on Brexit, you can see how these people have taken the decision [ to leave ] as a license to express a view of Britain that is fundamentally racial.",David Olusoga,['Q28086136'],"[['David Olusoga', '0.9485'], ['None', '0.0515']]"
2020-02-17,"Britain used to be centre stage. Boris Johnson memorably incensed the conference by calling Brexit Britain's `liberation' . People from countries where real liberation from foreign occupation is recent memory found that in bad taste, and harrumphed mightily. This year, even a whipping boy from Britain would have been welcome. Represented undetectably by a sole, new, junior minister, our government had effectively vanished from the world's most important security shindig.",None,[],"[['None', '0.5998'], ['Laura Spinney', '0.4002']]"
2020-02-06,Boris: Let's get Brexit done. Also Boris: Got Brexit done.,None,[],"[['None', '0.8466'], ['Dominic Cummings', '0.1534']]"
2020-01-15,can't be trusted on the big issue of Brexit,Billy Kelleher,['Q559402'],"[['Billy Kelleher', '0.5015'], ['None', '0.4985']]"
2020-01-13,"But the prolonged uncertainty has been battling the UK economy and many businesses are concerned Brexit could cause the economy to shrink in 2020,",Kerstin Braun,['Q1275325'],"[['Kerstin Braun', '0.7877'], ['None', '0.1943'], ['Boris Johnson', '0.018']]"
2020-02-04,"My hope is that in a post-Brexit Britain the NHS will remain a service with employees from all around the world, as well as having a Government that addresses the concerns of EU citizens who are already in this country.",None,[],"[['None', '0.5174'], ['Layla Moran', '0.3858'], ['Victoria Prentis', '0.0577'], ['Philip Pullman', '0.0391']]"
2020-03-09,"There have been differing reports on what the Chancellor may do to pension tax relief. An increase in the pensions tapering threshold to encourage more pension savings would be my preferred option. There's bound to be winners and losers following the Budget, but a Budget for business to boost confidence during the Brexit transition and negotiation period would be most welcome.",CHRIS MCDONALD,"['Q10553569', 'Q1077529', 'Q22006770', 'Q5107402']","[['CHRIS MCDONALD', '0.8601'], ['None', '0.1399']]"
2020-02-14,"in this instance the term has been used by the columnist to describe a group of named and unnamed individuals of different races, of whom he was critical for their views on Brexit",None,[],"[['None', '0.9151'], ['Alastair Stewart', '0.0486'], ['Gina Miller', '0.0363']]"
2020-01-22,"It was fun coming back for radio because that's where we started. We had to put it together quite quickly as it was about Brexit. Plus no one expected us to come back on the radio. You would have expected Comic Relief or a big live tour. The reaction was great, which was encouraging.",David Walliams,['Q359665'],"[['David Walliams', '0.9276'], ['None', '0.0724']]"
2020-02-28,"The government does not want to be subservient to Brussels in the coming decades because it has decided to take a gamble. It rests on a risky but justifiable assumption that the economy is about to change, a lot -- that it is about to be reforged, as it tends to be every three or four decades, this time in the furnace of digital innovation. And EU rules, the thinking goes, will hold us back... The vision is of much more tech investment coming to Britain, a sector in which the country is already growing fast. The US and China are giants. But according to a report by entrepreneurs' network Tech Nation published this year, technology investment in Britain surged by 44% to £ 10.1 billion in 2019, despite Brexit.",Iain Martin,['Q5980534'],"[['Iain Martin', '0.3422'], ['None', '0.2588'], ['Mary Wakefield', '0.2576'], ['Johnny Depp', '0.0861'], ['Amber Heard', '0.0553']]"
2020-02-19,"The whole reason that I've entered the deputy leadership race, yes I'm in it to win it, but the second was to try and get some bloody honesty about what's actually happened here -- Jeremy Corbyn, Brexit and a policy platform that (voters) didn't think could be delivered. That's it. Anybody else that thinks it's the BBC's fault or the Daily Mail's is off the wall.",Ian Murray,"['Q15499527', 'Q527729', 'Q578432', 'Q644360']","[['Ian Murray', '0.894'], ['None', '0.0982'], ['Rebecca Long-Bailey', '0.0078']]"
2020-03-13,They said that Diane had called everyone who voted for Brexit racist and up until today some people still believe that.,None,[],"[['None', '0.7681'], ['Diane Abbott', '0.2319']]"
2020-01-14,"USD/ZAR should continue to pivot around the 14.40 mark, having missed the opportunity to capitalise on the strong risk momentum at the start of the week. The only meaningful gains will be evident against the pound, which continues to falter against the US dollar as markets contemplate a possible BOE rate cut, contingent on the outcome of Brexit negotiations. Yet another episode of déjà vu,",None,[],"[['None', '0.4982'], ['Gertjan Vlieghe', '0.3454'], ['Mark Carney', '0.1183'], ['Silvana Tenreyro', '0.0381']]"
2020-01-31,"I don't like the way everybody has gone completely against each other on the topic of Brexit, I hope that we can all come together now.",None,[],"[['None', '0.7019'], ['Winston Churchill', '0.1675'], ['Boris Johnson', '0.1306']]"
2020-03-02,Brexit and the Irish Economy.,Martina lawless,['Q29570984'],"[['Martina lawless', '0.9'], ['None', '0.1']]"
2020-02-26,"My right honourable friend the Prime Minister has won a huge mandate to transform our country and already he is off to a great start-ending the parliamentary paralysis, defeating the radical left, getting Brexit done, a points-based immigration system and an infrastructure revolution.",Sajid Javid,['Q727798'],"[['Sajid Javid', '0.9189'], ['None', '0.0811']]"
2020-01-28,"Throughout his career, Johnson has shown strength and resolve when faced with difficult challenges -- as mayor of London, as a leader in the campaign for Brexit, and in the negotiations with a bureaucratic and adversarial European Union. It is absolutely vital he display that same resolve now in the face of the Chinese cyber threat. The consequences of his choice will impact not only the security of the United Kingdom, but the long-term strength of the U.S.-U.K. Special Relationship.",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.5545'], ['None', '0.4455']]"
2020-01-30,"We're going on a free trade route after Brexit, no brakes will be applied because they are considered to be anti-commercial.",Lucy Siegle,['Q6698498'],"[['Lucy Siegle', '0.8775'], ['None', '0.1076'], ['Jacob Rees-Mogg', '0.0149']]"
2020-01-12,that does not mean that every single person who voted for Brexit was racist -- some of my family voted for Brexit. But I think that there were drivers in that campaign which were certainly very unsavoury and which I would call racist.,None,[],"[['None', '0.4932'], ['Meghan Markle', '0.3111'], ['Clive Lewis', '0.1957']]"
2020-01-30,UK business investment has been very weak since decision to call Brexit referendum.,Mark Carney,['Q192533'],"[['Mark Carney', '0.8144'], ['None', '0.1856']]"
2020-01-22,"At times it felt like we would never cross the Brexit finish line, but we've done it. Now we can put the rancour and division of the past three years behind us and focus on delivering a bright, exciting future.",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.5982'], ['None', '0.2861'], ['Andrew Rosindell', '0.1157']]"
2020-02-14,Even when Boris was mayor he put his own people around him. He wants people that are 100% behind him and his vision of Brexit. Sajid Javid's office has been leaking stuff and going against the government brief. Javid has been giving interviews to the media saying Brexit will be difficult. Boris wants people that will go to the EU and tell them what we are going to do. Rishi has been much more optimistic about Brexit and more methodical about assessing its impact.,None,[],"[['None', '0.6856'], ['Rishi Sunak', '0.1815'], ['Sajid Javid', '0.0823'], ['Boris Johnson', '0.0506']]"
2020-01-15,Why the need for #BigBen to bong on Brexit day. Money should be spent elsewhere. Let the church bells ring across the country instead.,None,[],"[['None', '0.6424'], ['Paul Burrell', '0.2484'], ['Big Ben', '0.1092']]"
2020-02-06,I voted for Brexit but it wasn't a big part of why I voted Conservative in December.,None,[],"[['None', '0.9201'], ['Jeremy Corbyn', '0.0799']]"
2020-01-08,remain cautious as the wider impact of Brexit begins to be felt,Darren Baker,"['Q21466547', 'Q2330723']","[['Darren Baker', '0.9412'], ['None', '0.0588']]"
2020-03-11,We will take precautions in the event that there is some disruption in the short-term at borders and things like that... we will dust off the plans that we had ready for a hard Brexit last time should there be a hard Brexit this time.,Roger Whiteside,['Q24055656'],"[['Roger Whiteside', '0.8658'], ['None', '0.1342']]"
2020-01-30,"In respectfully making the case, because that's what we have done with regards to Brexit, we're asking the Irish people to continue to trust us in continuing that work.",Paschal Donohoe,['Q1271675'],"[['Paschal Donohoe', '0.9241'], ['None', '0.0759']]"
2020-02-05,"Sometimes I don't feel as though I want to go out and party and drink and smoke weed, which is what they [ my classmates ] do. I'd much prefer just writing things about Brexit,",None,[],"[['None', '0.9365'], ['Nigel Farage', '0.0635']]"
2020-01-08,We will indeed get Brexit done by January 31,Boris Johnson,['Q180589'],"[['Boris Johnson', '0.8142'], ['None', '0.1344'], ['Jonathan Walker', '0.0514']]"
2020-04-16,"I am hearing that quite a lot of civil servants who were doing Brexit have been moved temporarily to coronavirus and that must delay the putting into U.K. law what was EU law,",Vicky Pryce,['Q7925542'],"[['Vicky Pryce', '0.927'], ['None', '0.073']]"
2020-01-30,Brexit brunch with a collection of like-minded people in my constituency marking an important moment and the next step in Britain's journey,John Penrose,"['Q52436001', 'Q575513']","[['John Penrose', '0.8007'], ['None', '0.1993']]"
2020-01-29,"But at the same time it's encouraging because the Yes movement desperately needs to ensure that the public don't `move on' from Brexit (whereas the British establishment, from Boris Johnson all the way through to the BBC and The Sun, will be trying to achieve the opposite effect and get us to accept Brexit as an unchangeable historical fact as soon as humanly possible).",James Kelly,"['Q1519985', 'Q15993148', 'Q16239036', 'Q24083', 'Q27973833', 'Q3161199', 'Q373836', 'Q52892605', 'Q56283756', 'Q6128162', 'Q6129126', 'Q6137177', 'Q6137190', 'Q6138479']","[['James Kelly', '0.9543'], ['None', '0.0457']]"
2020-01-14,"The argument from some in government seems to be that regional investment will counter-balance any Brexit effect. But who is going to lose, who will gain from all this? Farmers are going to lose out [ on EU funds ] and you're not going to re-train them to be artificial intelligence specialists.",Mike Galsworthy,['Q52091283'],"[['Mike Galsworthy', '0.8903'], ['None', '0.0907'], ['Boris Johnson', '0.019']]"
2020-01-15,"The European Union has been diverted by Brexit, it's been obstructed by nationalist members, it's been divided over migration and as a result it's often found it difficult to adopt a strong common voice on human rights,",Kenneth Roth,['Q6390647'],"[['Kenneth Roth', '0.9253'], ['None', '0.0747']]"
2020-01-28,"Brexit has attracted much attention on the future of trade relations between the UK and the EU, but most debates largely overlooked JHA-related issues, which are hardly mentioned in the Withdrawal Agreement itself.",Claude Moraes,['Q1097007'],"[['Claude Moraes', '0.9158'], ['None', '0.0842']]"
2020-01-06,"The budget is likely to target job creation and assisting firms to overcome difficulties caused by external factors, such as trade dispute between US and China and Brexit,",None,[],"[['None', '0.851'], ['Heng Swee Keat', '0.149']]"
2020-02-11,This is simply because if the Brexit negotiations go well then it negates a lot of the argument for needing to strike out on their own.,Nicola Sturgeon,['Q467112'],"[['Nicola Sturgeon', '0.5269'], ['None', '0.2671'], ['Mary Lou McDonald', '0.0947'], ['Leo Varadkar', '0.0606'], ['Boris Johnson', '0.0507']]"
2020-03-14,"But of course it is there. It's always there, whether it's Trump, or Brexit, or Russian influence on elections.",Daniel Craig,['Q4547'],"[['Daniel Craig', '0.8764'], ['None', '0.1114'], ['James Bond', '0.0122']]"
2020-01-22,"At times, it felt like we would never cross the Brexit finish line, but we've done it,",Boris Johnson,['Q180589'],"[['Boris Johnson', '0.7321'], ['None', '0.2163'], ['prime minister Theresa May', '0.0139'], ['Charles Michel', '0.0135'], ['Ursula von der Leyen', '0.01'], ['Nigel Evans', '0.0071'], ['Big Ben', '0.0018'], ['Steven Mnuchin', '0.0016'], ['Queen Elizabeth II', '0.001'], ['Amanda Nevill', '0.001'], ['Leo Varadkar', '7.0E-4'], ['Ben Roberts', '6.0E-4'], ['Donald Trump', '2.0E-4'], ['Jean-Claude Juncker', '2.0E-4'], ['Donald Tusk', '1.0E-4']]"
2020-02-01,"In truth whether in Ireland (peace), economic hit (prosperity) or the evident decline of our standing in the world even before Brexit has happened, we are putting all three (peace, prosperity and friendship) at risk.",Alastair Campbell,"['Q29642440', 'Q653236']","[['Alastair Campbell', '0.8446'], ['None', '0.1554']]"
